Fecha;CodZR;DesZR;CodMun;DesMun;NuevosCasos;AcumuladoCasosHastaLaFecha
2020-02-28 00:00:00;18;CHANTREA;747;PAMPLONA / IRU—A;1;1
2020-02-29 00:00:00;-1;Nulo/Sin informar;-1;Nulo/Sin informar;1;1
2020-03-02 00:00:00;18;CHANTREA;747;PAMPLONA / IRU—A;1;2
2020-03-05 00:00:00;27;PUENTE LA REINA;756;PUENTE LA REINA / GARES;1;1
2020-03-07 00:00:00;17;ROCHAPEA;747;PAMPLONA / IRU—A;1;1
2020-03-08 00:00:00;17;ROCHAPEA;747;PAMPLONA / IRU—A;1;2
2020-03-08 00:00:00;29;SANG‹ESA;782;SANG‹ESA / ZANGOZA;1;1
2020-03-09 00:00:00;-1;Nulo/Sin informar;-1;Nulo/Sin informar;1;2
2020-03-09 00:00:00;1;ALTSASU/ALSASUA;16;ALTSASU / ALSASUA;1;1
2020-03-09 00:00:00;14;BERRIOZAR;46;BERRIOZAR;1;1
2020-03-09 00:00:00;2;ETXARRI-ARANATZ;278;ETXARRI ARANATZ;1;1
2020-03-09 00:00:00;17;ROCHAPEA;747;PAMPLONA / IRU—A;6;8
2020-03-09 00:00:00;29;SANG‹ESA;782;SANG‹ESA / ZANGOZA;3;4
2020-03-09 00:00:00;37;VIANA;886;VIANA;1;1
2020-03-10 00:00:00;14;BERRIOZAR;46;BERRIOZAR;2;3
2020-03-10 00:00:00;48;CORELLA;261;CORELLA;1;1
2020-03-10 00:00:00;28;NO¡IN;304;NO¡IN / NOAIN;4;4
2020-03-10 00:00:00;44;PERALTA;643;MARCILLA;1;1
2020-03-10 00:00:00;16;SAN JORGE;747;PAMPLONA / IRU—A;1;1
2020-03-10 00:00:00;17;ROCHAPEA;747;PAMPLONA / IRU—A;7;15
2020-03-10 00:00:00;19;CASCO VIEJO-I ENSANCHE;747;PAMPLONA / IRU—A;1;1
2020-03-10 00:00:00;20;II ENSANCHE;747;PAMPLONA / IRU—A;2;2
2020-03-10 00:00:00;21;MILAGROSA;747;PAMPLONA / IRU—A;1;1
2020-03-10 00:00:00;24;ERMITAGA—A;747;PAMPLONA / IRU—A;1;1
2020-03-11 00:00:00;1;ALTSASU/ALSASUA;16;ALTSASU / ALSASUA;1;2
2020-03-11 00:00:00;14;BERRIOZAR;46;BERRIOZAR;1;4
2020-03-11 00:00:00;2;ETXARRI-ARANATZ;102;ARBIZU;1;1
2020-03-11 00:00:00;50;CASCANTE;238;CASCANTE;1;1
2020-03-11 00:00:00;25;ZIZUR-ECHAVACOIZ;250;ZIZUR MAYOR / ZIZUR NAGUSIA;1;1
